Time (UTC), Frequency (MHz),Level (dB/Hz)
1551105545.0, 140.9140625, -48.4005483083
1551105545.0, 140.916015625, -48.497028598
1551105545.0, 140.91796875, -48.5176765705
1551105545.0, 140.919921875, -48.3957393209
1551105545.0, 140.921875, -48.2267025874
1551105545.0, 140.923828125, -47.3384127428
1551105545.0, 140.92578125, -47.4801576785
1551105545.0, 140.927734375, -48.3391207569
1551105545.0, 140.9296875, -48.0192652084
1551105545.0, 140.931640625, -48.0192948203
1551105545.0, 140.93359375, -47.9269404652
1551105545.0, 140.935546875, -48.0430091835
1551105545.0, 140.9375, -48.3528908835
1551105545.0, 140.939453125, -48.1824088244
1551105545.0, 140.94140625, -48.0653192169
1551105545.0, 140.943359375, -47.6511706635
1551105545.0, 140.9453125, -48.1504735634
1551105545.0, 140.947265625, -48.091173673
1551105545.0, 140.94921875, -48.0345012463
1551105545.0, 140.951171875, -48.2633777896
1551105545.0, 140.953125, -48.2101866225
1551105545.0, 140.955078125, -48.3196585259
1551105545.0, 140.95703125, -48.3361167642
1551105545.0, 140.958984375, -48.2205076742
1551105545.0, 140.9609375, -48.5330143098
1551105545.0, 140.962890625, -48.3931963973
1551105545.0, 140.96484375, -48.2148010883
1551105545.0, 140.966796875, -48.2659621492
1551105545.0, 140.96875, -48.1704984787
1551105545.0, 140.970703125, -48.2803656955
1551105545.0, 140.97265625, -48.2655305991
1551105545.0, 140.974609375, -48.1781554499
1551105545.0, 140.9765625, -48.2756245528
1551105545.0, 140.978515625, -48.3456029511
1551105545.0, 140.98046875, -48.3198522502
1551105545.0, 140.982421875, -48.6164406538
1551105545.0, 140.984375, -48.5297752684
1551105545.0, 140.986328125, -48.4294872728
1551105545.0, 140.98828125, -48.4935537951
1551105545.0, 140.990234375, -48.4590419028
1551105545.0, 140.9921875, -48.5867011999
1551105545.0, 140.994140625, -48.6005553285
1551105545.0, 140.99609375, -48.7155651818
1551105545.0, 140.998046875, -48.2170889589
1551105545.0, 141.0, -48.0482133967
1551105545.0, 141.001953125, -48.2524641766
1551105545.0, 141.00390625, -48.2513162493
1551105545.0, 141.005859375, -48.276905417
1551105545.0, 141.0078125, -47.9262192004
1551105545.0, 141.009765625, -48.1787066576
1551105545.0, 141.01171875, -48.1373547687
1551105545.0, 141.013671875, -48.0993774078
1551105545.0, 141.015625, -47.953194635
1551105545.0, 141.017578125, -48.230249458
1551105545.0, 141.01953125, -48.3696504753
1551105545.0, 141.021484375, -48.2551609918
1551105545.0, 141.0234375, -48.1965312542
1551105545.0, 141.025390625, -48.1125571814
1551105545.0, 141.02734375, -48.413178895
1551105545.0, 141.029296875, -48.5817018921
1551105545.0, 141.03125, -48.1558868562
1551105545.0, 141.033203125, -48.2729064159
1551105545.0, 141.03515625, -48.1614514723
1551105545.0, 141.037109375, -48.2556157265
1551105545.0, 141.0390625, -48.020404476
1551105545.0, 141.041015625, -48.1958717437
1551105545.0, 141.04296875, -48.1122967659
1551105545.0, 141.044921875, -47.9179996949
1551105545.0, 141.046875, -47.7613027081
1551105545.0, 141.048828125, -47.8821655748
1551105545.0, 141.05078125, -47.6221671352
1551105545.0, 141.052734375, -47.3349772689
1551105545.0, 141.0546875, -47.2853402615
1551105545.0, 141.056640625, -47.1594065614
1551105545.0, 141.05859375, -46.994670027
